Date,Time,Temp Units,Bar Units,Wind Units,Rain Units,Temp Out,Hi Temp,Low Temp,Rain,Rain Rate,BAR,Solar Rad.,In Temp,In Hum,Out Hum,Wind Speed,Hi Speed,Hi Dir,Wind Dir,UV Index,ET,Hi Solar Rad.,Hi UV
19:04:2026,00:15,C,mm,km/h,mm,19,19,19,0.00,0.00,768.6,---,24,25,34,3.2,11.3,NW,NNW,---,---,---,---
19:04:2026,00:30,C,mm,km/h,mm,19,19,19,0.00,0.00,768.6,---,24,25,40,3.2,11.3,NW,NNW,---,---,---,---
19:04:2026,00:45,C,mm,km/h,mm,18,19,18,0.00,0.00,768.6,---,24,25,44,1.6,8.0,N,NNE,---,---,---,---
19:04:2026,01:00,C,mm,km/h,mm,18,18,18,0.00,0.00,768.6,---,24,26,47,3.2,9.7,NNW,NNW,---,---,---,---
19:04:2026,01:15,C,mm,km/h,mm,17,18,17,0.00,0.00,768.5,---,24,26,55,3.2,12.9,N,NNW,---,---,---,---
19:04:2026,01:30,C,mm,km/h,mm,17,17,17,0.00,0.00,768.5,---,24,27,61,3.2,14.5,NW,NW,---,---,---,---
19:04:2026,01:45,C,mm,km/h,mm,16,17,16,0.00,0.00,768.7,---,24,28,64,4.8,14.5,NW,NNW,---,---,---,---
19:04:2026,02:00,C,mm,km/h,mm,16,16,16,0.00,0.00,768.7,---,24,29,66,1.6,9.7,NNW,NNW,---,---,---,---
19:04:2026,02:15,C,mm,km/h,mm,16,16,16,0.00,0.00,768.9,---,24,29,66,1.6,9.7,WNW,NW,---,---,---,---
19:04:2026,02:30,C,mm,km/h,mm,15,16,15,0.00,0.00,769.0,---,24,30,68,0.0,4.8,NW,NNW,---,---,---,---
19:04:2026,02:45,C,mm,km/h,mm,15,15,15,0.00,0.00,769.1,---,24,31,69,1.6,6.4,N,NNW,---,---,---,---
19:04:2026,03:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.1,---,24,31,70,0.0,1.6,N,N,---,---,---,---
19:04:2026,03:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,32,71,0.0,1.6,N,N,---,---,---,---
19:04:2026,03:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.2,---,24,32,72,0.0,3.2,NE,NNW,---,---,---,---
19:04:2026,03:45,C,mm,km/h,mm,14,15,14,0.00,0.00,769.3,---,24,32,72,0.0,0.0,---,---,---,---,---,---
19:04:2026,04:00,C,mm,km/h,mm,15,15,14,0.00,0.00,769.4,---,24,33,72,0.0,1.6,NNE,N,---,---,---,---
19:04:2026,04:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,72,0.0,1.6,ENE,ENE,---,---,---,---
19:04:2026,04:30,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,71,0.0,3.2,NNW,NNW,---,---,---,---
19:04:2026,04:45,C,mm,km/h,mm,15,15,15,0.00,0.00,769.5,---,24,33,69,0.0,0.0,---,---,---,---,---,---
19:04:2026,05:00,C,mm,km/h,mm,15,15,15,0.00,0.00,769.4,---,24,34,71,0.0,0.0,---,---,---,---,---,---
19:04:2026,05:15,C,mm,km/h,mm,14,15,14,0.00,0.00,769.4,---,24,34,72,0.0,3.2,NNW,NNW,---,---,---,---
19:04:2026,05:30,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,24,34,73,0.0,3.2,NNW,NNE,---,---,---,---
19:04:2026,05:45,C,mm,km/h,mm,14,14,14,0.00,0.00,769.5,---,24,34,73,0.0,4.8,NW,NNW,---,---,---,---
19:04:2026,06:00,C,mm,km/h,mm,15,15,14,0.00,0.00,769.7,---,24,35,72,0.0,1.6,NNW,NNW,---,---,---,---
19:04:2026,06:15,C,mm,km/h,mm,15,15,15,0.00,0.00,769.8,---,24,35,71,0.0,6.4,N,NNW,---,---,---,---
19:04:2026,06:30,C,mm,km/h,mm,15,15,15,0.00,0.00,770.0,---,24,35,71,0.0,6.4,NW,NNW,---,---,---,---
19:04:2026,06:45,C,mm,km/h,mm,15,15,15,0.00,0.00,770.0,---,24,35,71,1.6,6.4,NW,NW,---,---,---,---
19:04:2026,07:00,C,mm,km/h,mm,15,15,15,0.00,0.00,770.0,---,24,35,70,1.6,8.0,WNW,NNW,---,---,---,---
19:04:2026,07:15,C,mm,km/h,mm,16,16,15,0.00,0.00,770.2,---,24,36,71,0.0,4.8,NW,NNW,---,---,---,---
19:04:2026,07:30,C,mm,km/h,mm,16,16,16,0.00,0.00,770.4,---,23,36,70,1.6,9.7,NW,NW,---,---,---,---
19:04:2026,07:45,C,mm,km/h,mm,16,16,16,0.00,0.00,770.5,---,23,36,70,0.0,8.0,WNW,NNW,---,---,---,---
19:04:2026,08:00,C,mm,km/h,mm,17,17,16,0.00,0.00,770.6,---,23,36,68,0.0,4.8,N,NNW,---,---,---,---
19:04:2026,08:15,C,mm,km/h,mm,17,17,17,0.00,0.00,770.7,---,23,36,66,1.6,6.4,NW,NW,---,---,---,---
19:04:2026,08:30,C,mm,km/h,mm,17,17,17,0.00,0.00,770.8,---,23,36,65,1.6,8.0,WNW,NW,---,---,---,---
19:04:2026,08:45,C,mm,km/h,mm,18,18,17,0.00,0.00,770.7,---,23,37,63,1.6,6.4,NNE,NW,---,---,---,---
19:04:2026,09:00,C,mm,km/h,mm,19,19,18,0.00,0.00,770.8,---,23,37,60,1.6,8.0,NW,SSE,---,---,---,---
19:04:2026,09:15,C,mm,km/h,mm,18,19,18,0.00,0.00,771.0,---,23,37,61,1.6,6.4,NNE,NW,---,---,---,---
19:04:2026,09:30,C,mm,km/h,mm,18,18,18,0.00,0.00,771.0,---,23,37,63,0.0,4.8,ESE,E,---,---,---,---
19:04:2026,09:45,C,mm,km/h,mm,18,18,18,0.00,0.00,771.0,---,23,37,63,1.6,6.4,W,WNW,---,---,---,---
19:04:2026,10:00,C,mm,km/h,mm,18,18,18,0.00,0.00,770.9,---,23,37,62,1.6,6.4,W,WNW,---,---,---,---
19:04:2026,10:15,C,mm,km/h,mm,18,18,18,0.00,0.00,771.0,---,23,37,60,1.6,11.3,NW,NW,---,---,---,---
19:04:2026,10:30,C,mm,km/h,mm,19,19,18,0.00,0.00,771.0,---,23,37,57,1.6,8.0,NW,NW,---,---,---,---
19:04:2026,10:45,C,mm,km/h,mm,20,20,19,0.00,0.00,770.9,---,23,37,57,0.0,6.4,WNW,NE,---,---,---,---
19:04:2026,11:00,C,mm,km/h,mm,21,21,20,0.00,0.00,770.8,---,23,37,51,0.0,4.8,SSE,SE,---,---,---,---
19:04:2026,11:15,C,mm,km/h,mm,22,22,21,0.00,0.00,770.7,---,23,37,48,0.0,4.8,SE,SSE,---,---,---,---
19:04:2026,11:30,C,mm,km/h,mm,22,22,22,0.00,0.00,770.5,---,23,37,47,1.6,8.0,SSE,SSE,---,---,---,---
19:04:2026,11:45,C,mm,km/h,mm,22,22,22,0.00,0.00,770.3,---,23,37,47,1.6,4.8,SSE,SE,---,---,---,---
19:04:2026,12:00,C,mm,km/h,mm,22,22,22,0.00,0.00,770.1,---,23,37,44,3.2,9.7,W,NNW,---,---,---,---
19:04:2026,12:15,C,mm,km/h,mm,23,23,22,0.00,0.00,769.9,---,23,37,45,0.0,6.4,NNW,NW,---,---,---,---
19:04:2026,12:30,C,mm,km/h,mm,24,24,23,0.00,0.00,769.7,---,23,37,41,1.6,9.7,SSE,SSE,---,---,---,---
19:04:2026,12:45,C,mm,km/h,mm,22,24,22,0.00,0.00,769.6,---,23,37,44,1.6,11.3,WNW,NNE,---,---,---,---
19:04:2026,13:00,C,mm,km/h,mm,22,22,22,0.00,0.00,769.4,---,23,37,44,1.6,8.0,WNW,NNW,---,---,---,---
19:04:2026,13:15,C,mm,km/h,mm,23,23,22,0.00,0.00,769.2,---,23,36,42,1.6,9.7,SSE,NNE,---,---,---,---
19:04:2026,13:30,C,mm,km/h,mm,23,23,23,0.00,0.00,769.1,---,23,36,43,0.0,4.8,ESE,ESE,---,---,---,---
19:04:2026,13:45,C,mm,km/h,mm,23,23,23,0.00,0.00,768.9,---,23,36,43,1.6,8.0,W,SE,---,---,---,---
19:04:2026,14:00,C,mm,km/h,mm,24,24,23,0.00,0.00,768.6,---,24,36,42,1.6,8.0,SSE,SSE,---,---,---,---
19:04:2026,14:15,C,mm,km/h,mm,25,25,24,0.00,0.00,768.5,---,24,36,41,1.6,6.4,NNW,NNW,---,---,---,---
19:04:2026,14:30,C,mm,km/h,mm,25,26,25,0.00,0.00,768.4,---,24,36,41,3.2,11.3,NW,NW,---,---,---,---
19:04:2026,14:45,C,mm,km/h,mm,25,25,24,0.00,0.00,768.2,---,24,36,42,1.6,11.3,NNW,NW,---,---,---,---
19:04:2026,15:00,C,mm,km/h,mm,26,26,25,0.00,0.00,767.9,---,24,36,41,3.2,11.3,ENE,NNE,---,---,---,---
19:04:2026,15:15,C,mm,km/h,mm,25,26,25,0.00,0.00,767.9,---,24,36,39,1.6,11.3,NNW,NE,---,---,---,---
19:04:2026,15:30,C,mm,km/h,mm,26,26,25,0.00,0.00,767.8,---,24,36,39,0.0,8.0,W,SSE,---,---,---,---
19:04:2026,15:45,C,mm,km/h,mm,26,27,26,0.00,0.00,767.6,---,24,36,39,4.8,14.5,WNW,NW,---,---,---,---
19:04:2026,16:00,C,mm,km/h,mm,24,26,24,0.00,0.00,767.4,---,24,36,43,3.2,14.5,NNW,NE,---,---,---,---
19:04:2026,16:15,C,mm,km/h,mm,24,24,24,0.00,0.00,767.3,---,24,37,42,3.2,11.3,NW,NNE,---,---,---,---
19:04:2026,16:30,C,mm,km/h,mm,25,25,24,0.00,0.00,767.2,---,24,37,40,3.2,16.1,NW,NNW,---,---,---,---
19:04:2026,16:45,C,mm,km/h,mm,25,26,25,0.00,0.00,767.2,---,24,37,42,3.2,17.7,NNW,NNE,---,---,---,---
19:04:2026,17:00,C,mm,km/h,mm,25,25,25,0.00,0.00,767.2,---,24,37,42,3.2,14.5,NW,NW,---,---,---,---
19:04:2026,17:15,C,mm,km/h,mm,25,25,25,0.00,0.00,767.2,---,24,37,43,3.2,14.5,NW,NW,---,---,---,---
19:04:2026,17:30,C,mm,km/h,mm,24,25,24,0.00,0.00,767.2,---,24,37,44,3.2,12.9,N,NE,---,---,---,---
19:04:2026,17:45,C,mm,km/h,mm,24,24,24,0.00,0.00,767.2,---,24,37,44,1.6,8.0,NE,NNE,---,---,---,---
19:04:2026,18:00,C,mm,km/h,mm,23,24,23,0.00,0.00,767.3,---,24,37,45,1.6,11.3,N,NE,---,---,---,---
19:04:2026,18:15,C,mm,km/h,mm,23,23,23,0.00,0.00,767.4,---,24,37,45,1.6,11.3,NW,NNE,---,---,---,---
19:04:2026,18:30,C,mm,km/h,mm,22,23,22,0.00,0.00,767.5,---,24,37,46,3.2,14.5,NW,NE,---,---,---,---
19:04:2026,18:45,C,mm,km/h,mm,22,22,22,0.00,0.00,767.6,---,24,37,48,1.6,8.0,N,NNE,---,---,---,---
19:04:2026,19:00,C,mm,km/h,mm,21,22,21,0.00,0.00,767.9,---,24,37,50,1.6,8.0,NNW,NNE,---,---,---,---
19:04:2026,19:15,C,mm,km/h,mm,20,21,20,0.00,0.00,768.2,---,24,37,52,0.0,6.4,NW,NNW,---,---,---,---
19:04:2026,19:30,C,mm,km/h,mm,20,20,20,0.00,0.00,768.3,---,24,37,53,0.0,4.8,NNE,NNE,---,---,---,---
19:04:2026,19:45,C,mm,km/h,mm,20,20,20,0.00,0.00,768.6,---,24,37,53,0.0,4.8,NNE,NE,---,---,---,---
19:04:2026,20:00,C,mm,km/h,mm,19,20,19,0.00,0.00,768.8,---,24,37,54,0.0,3.2,SSE,SSE,---,---,---,---
19:04:2026,20:15,C,mm,km/h,mm,19,19,19,0.00,0.00,768.9,---,24,37,54,0.0,0.0,---,---,---,---,---,---
19:04:2026,20:30,C,mm,km/h,mm,19,19,19,0.00,0.00,769.2,---,24,37,55,0.0,0.0,---,---,---,---,---,---
19:04:2026,20:45,C,mm,km/h,mm,19,19,19,0.00,0.00,769.5,---,24,37,57,0.0,3.2,W,NNW,---,---,---,---
19:04:2026,21:00,C,mm,km/h,mm,18,19,18,0.00,0.00,769.7,---,24,37,60,0.0,8.0,SW,WNW,---,---,---,---
19:04:2026,21:15,C,mm,km/h,mm,17,18,17,0.00,0.00,769.7,---,24,37,61,1.6,8.0,NW,NW,---,---,---,---
19:04:2026,21:30,C,mm,km/h,mm,17,17,17,0.00,0.00,769.7,---,24,37,62,1.6,6.4,W,WNW,---,---,---,---
19:04:2026,21:45,C,mm,km/h,mm,17,17,17,0.00,0.00,769.9,---,24,37,63,0.0,4.8,W,WNW,---,---,---,---
19:04:2026,22:00,C,mm,km/h,mm,17,17,17,0.00,0.00,770.0,---,24,37,63,1.6,9.7,WNW,NW,---,---,---,---
19:04:2026,22:15,C,mm,km/h,mm,17,17,17,0.00,0.00,770.2,---,24,37,64,0.0,3.2,NW,NW,---,---,---,---
19:04:2026,22:30,C,mm,km/h,mm,16,17,16,0.00,0.00,770.3,---,24,37,65,1.6,6.4,W,NNW,---,---,---,---
19:04:2026,22:45,C,mm,km/h,mm,16,17,16,0.00,0.00,770.5,---,24,37,65,1.6,9.7,NW,NNW,---,---,---,---
19:04:2026,23:00,C,mm,km/h,mm,16,16,16,0.00,0.00,770.6,---,24,37,67,1.6,8.0,SW,WNW,---,---,---,---
19:04:2026,23:15,C,mm,km/h,mm,16,16,16,0.00,0.00,770.6,---,24,38,69,1.6,8.0,WSW,WNW,---,---,---,---
19:04:2026,23:30,C,mm,km/h,mm,16,16,16,0.00,0.00,770.6,---,24,38,70,1.6,8.0,WSW,NW,---,---,---,---
19:04:2026,23:45,C,mm,km/h,mm,15,16,15,0.00,0.00,770.7,---,24,38,71,1.6,8.0,NNE,NW,---,---,---,---
